# Monte Carlo Study Summary

## Noise level σ = 0.0

average_improvement @ 0.0 11.5488
average_percentage_improvement @ 0.0 20.2933
baseline_std @ 0.0 0.0
new_std @ 0.0 0.0
p_value @ 0.0 0.0
significant @ 0.0 true
likelihood_of_improvement @ 0.0 100.0%

## Noise level σ = 0.02

average_improvement @ 0.02 28.564
average_percentage_improvement @ 0.02 37.3302
baseline_std @ 0.02 34.103
new_std @ 0.02 14.8314
p_value @ 0.02 6.0e-5
significant @ 0.02 true
likelihood_of_improvement @ 0.02 99.99%

## Noise level σ = 0.04

average_improvement @ 0.04 18.9688
average_percentage_improvement @ 0.04 27.574
baseline_std @ 0.04 19.2397
new_std @ 0.04 15.4849
p_value @ 0.04 1.6e-5
significant @ 0.04 true
likelihood_of_improvement @ 0.04 100.0%

## Noise level σ = 0.06

average_improvement @ 0.06 34.2922
average_percentage_improvement @ 0.06 44.1144
baseline_std @ 0.06 22.8998
new_std @ 0.06 15.8156
p_value @ 0.06 0.0
significant @ 0.06 true
likelihood_of_improvement @ 0.06 100.0%

## Noise level σ = 0.08

average_improvement @ 0.08 15.7496
average_percentage_improvement @ 0.08 23.6183
baseline_std @ 0.08 16.7697
new_std @ 0.08 12.0847
p_value @ 0.08 0.000451
significant @ 0.08 true
likelihood_of_improvement @ 0.08 99.95%

## Noise level σ = 0.1

average_improvement @ 0.1 21.7773
average_percentage_improvement @ 0.1 28.9786
baseline_std @ 0.1 17.2814
new_std @ 0.1 22.5393
p_value @ 0.1 2.4e-5
significant @ 0.1 true
likelihood_of_improvement @ 0.1 100.0%

## Noise level σ = 0.12

average_improvement @ 0.12 24.8212
average_percentage_improvement @ 0.12 32.3733
baseline_std @ 0.12 20.0338
new_std @ 0.12 22.3803
p_value @ 0.12 3.0e-6
significant @ 0.12 true
likelihood_of_improvement @ 0.12 100.0%

## Noise level σ = 0.14

average_improvement @ 0.14 40.3015
average_percentage_improvement @ 0.14 40.5594
baseline_std @ 0.14 149.0442
new_std @ 0.14 20.2646
p_value @ 0.14 0.072219
significant @ 0.14 false
likelihood_of_improvement @ 0.14 92.78%

## Noise level σ = 0.16

average_improvement @ 0.16 12.2883
average_percentage_improvement @ 0.16 17.0937
baseline_std @ 0.16 15.7199
new_std @ 0.16 18.5539
p_value @ 0.16 0.00802
significant @ 0.16 true
likelihood_of_improvement @ 0.16 99.2%

## Noise level σ = 0.18

average_improvement @ 0.18 32.511
average_percentage_improvement @ 0.18 39.3269
baseline_std @ 0.18 46.8117
new_std @ 0.18 18.1617
p_value @ 0.18 0.000152
significant @ 0.18 true
likelihood_of_improvement @ 0.18 99.98%

## Noise level σ = 0.2

average_improvement @ 0.2 10.8971
average_percentage_improvement @ 0.2 15.0674
baseline_std @ 0.2 18.3031
new_std @ 0.2 51.6409
p_value @ 0.2 0.142081
significant @ 0.2 false
likelihood_of_improvement @ 0.2 85.79%

## Noise level σ = 0.22

average_improvement @ 0.22 18.652
average_percentage_improvement @ 0.22 23.0359
baseline_std @ 0.22 31.8339
new_std @ 0.22 52.7788
p_value @ 0.22 0.06004
significant @ 0.22 false
likelihood_of_improvement @ 0.22 94.0%

## Noise level σ = 0.24

average_improvement @ 0.24 39.3372
average_percentage_improvement @ 0.24 40.0754
baseline_std @ 0.24 137.6177
new_std @ 0.24 26.2717
p_value @ 0.24 0.075412
significant @ 0.24 false
