Method Goal Errors:
Trial 1: [0.5057, 0.4883, 0.4582, 0.5703, 0.0103, 0.0313, 0.032, 0.0119, 0.0144]
Trial 2: [0.5009, 0.4722, 0.5863, 0.486, 0.4688, 0.4645, 0.019, 0.0175, 0.4383]
Trial 3: [0.5317, 0.4858, 0.1163, 0.554, 0.4445, 0.4439, 0.0229, 0.4435, 0.444]
Trial 4: [0.5029, 0.019, 0.4684, 0.0091, 0.4699, 0.4669, 0.461, 0.4043, 0.4214]
Trial 5: [0.5192, 0.4918, 0.0135, 0.4723, 0.0817, 0.0233, 0.4313, 0.0145, 0.4543]
Trial 6: [0.5337, 0.4858, 4.6778, 0.0212, 0.4754, 0.4684, 0.4584, 0.4456, 0.4335]
Trial 7: [0.5142, 0.4798, 0.4504, 0.0099, 0.0612, 0.4608, 0.4293, 0.0129, 0.4322]
Trial 8: [0.5338, 0.4799, 0.5067, 0.4727, 0.6134, 0.46, 0.4485, 0.018, 0.0127]
Trial 9: [0.5271, 0.5014, 0.4828, 0.4791, 0.4483, 0.4668, 0.4322, 0.0738, 0.4317]
Trial 10: [0.1087, 0.4798, 0.7931, 0.0293, 0.4616, 0.458, 0.0117, 0.0217, 0.0173]
Trial 11: [0.5337, 0.4857, 0.4923, 0.0846, 0.4498, 0.5148, 0.018, 0.4404, 0.0198]
Trial 12: [0.5249, 0.0873, 0.4854, 0.4725, 0.4791, 0.43, 0.4268, 0.0112, 3.5742]
Trial 13: [0.5038, 0.4858, 0.0132, 0.4729, 0.4468, 0.4383, 0.0288, 0.4614, 0.0163]
Trial 14: [0.4841, 0.5218, 0.5245, 0.04, 0.4535, 0.4644, 0.4235, 0.0124, 0.4247]
Trial 15: [1.8749, 0.5217, 0.4779, 0.4642, 0.4534, 0.019, 0.0199, 0.02, 0.4277]
Trial 16: [0.5336, 0.4798, 0.0176, 0.0271, 0.4445, 0.4446, 0.4315, 0.075, 0.017]
