Method Goal Errors:
Trial 1: [0.5235, 0.523, 0.5543, 0.4596, 0.4436, 0.1181, 0.4534, 0.0167, 0.4468]
Trial 2: [0.5339, 0.4771, 0.5073, 0.4602, 0.4502, 0.4725, 0.531, 0.4492, 0.0138]
Trial 3: [0.5441, 0.4858, 0.467, 0.8395, 0.0139, 0.6561, 0.4422, 0.3886, 0.0168]
Trial 4: [0.0211, 0.0279, 0.467, 0.8438, 0.4482, 0.4703, 0.4358, 0.0105, 0.0097]
Trial 5: [0.5187, 0.0184, 0.025, 0.4956, 0.4979, 0.4693, 0.4435, 0.4515, 0.0183]
Trial 6: [0.5143, 0.4796, 0.4832, 0.4657, 0.4483, 0.4663, 0.4205, 0.4474, 0.0211]
Trial 7: [0.0842, 0.4794, 0.4693, 0.0275, 0.0171, 0.4444, 0.0112, 0.4528, 0.0213]
Trial 8: [0.4974, 0.014, 0.0322, 0.4584, 0.4489, 0.0412, 0.4339, 0.0211, 0.4269]
Trial 9: [0.5334, 0.0328, 0.4734, 0.0109, 0.4501, 0.45, 0.4118, 0.6, 0.4221]
Trial 10: [0.4967, 0.02, 0.4696, 0.4742, 0.4792, 0.4256, 0.107, 0.017, 0.4356]
Trial 11: [0.0046, 0.1522, 0.4715, 0.4639, 0.4604, 0.0218, 0.0199, 0.0095, 0.0192]
Trial 12: [0.5, 0.0262, 0.012, 0.4723, 0.4658, 0.4527, 0.0105, 0.4527, 0.067]
Trial 13: [0.5075, 0.4856, 0.4719, 0.4719, 0.4942, 0.0286, 0.03, 0.4626, 0.4431]
Trial 14: [0.5224, 0.4826, 0.5543, 0.4893, 0.4505, 0.5183, 0.0147, 0.0198, 0.4503]
Trial 15: [0.4878, 0.5674, 0.0199, 0.5035, 0.4908, 0.0364, 0.0227, 0.466, 0.0213]
Trial 16: [0.0102, 0.0828, 0.0878, 0.01, 0.0231, 0.0281, 0.4592, 0.0227, 0.41]
Trial 17: [0.0153, 0.479, 0.0168, 0.4721, 0.4535, 0.0797, 0.0124, 0.0731, 0.0745]
Trial 18: [0.5338, 0.5214, 0.4861, 0.4738, 0.4792, 0.469, 0.4392, 0.0122, 0.4248]
Trial 19: [0.4744, 0.4858, 0.4648, 0.4724, 0.1511, 0.4893, 0.4572, 0.0149, 0.0175]
Trial 20: [0.5341, 0.4858, 0.4836, 0.0096, 0.4789, 2.577, 0.4073, 0.0134, 0.4219]
Trial 21: [0.0818, 0.4997, 0.4852, 0.0217, 0.0427, 0.5675, 0.4592, 0.0103, 0.4266]
Trial 22: [0.4999, 0.4797, 0.4655, 0.4638, 0.4787, 0.4359, 0.0168, 0.4395, 0.4188]
Trial 23: [0.5274, 0.4858, 0.5517, 0.0278, 0.4733, 0.0985, 0.0196, 0.4314, 0.4542]
Trial 24: [0.0726, 0.4975, 0.0224, 0.4727, 0.4742, 0.4605, 0.0309, 0.4395, 0.1026]
Trial 25: [0.011, 0.4858, 0.4752, 0.4718, 0.0119, 0.465, 0.7197, 0.4245, 0.0232]
Trial 26: [0.4972, 0.4683, 0.0137, 0.4746, 0.4499, 0.7757, 1.4007, 0.0584, 0.4196]
Trial 27: [0.5258, 0.5275, 0.5266, 0.4718, 0.0094, 0.4623, 3.6636, 0.4628, 0.421]
Trial 28: [0.5015, 0.4802, 0.5248, 0.4703, 0.4521, 0.0113, 3.7188, 0.0101, 0.4268]
Trial 29: [0.5338, 0.0175, 0.1083, 0.474, 0.6365, 0.4359, 0.0779, 0.015, 0.0156]
